#date     expnum ccd id ccdnum
#select nite || ' ' || expnum || ' nan N15  46' as lightbulb from exposure 
# where expnum >= 694884 and expnum <= 698401 and obstype = 'object' order by expnum asc;
20171117 697289 nan N15  46
20171117 697291 nan N15  46
20171117 697296 nan N15  46
20171117 697297 nan N15  46
20171117 697298 nan N15  46
20171117 697299 nan N15  46
20171117 697300 nan N15  46
20171117 697304 nan N15  46
20171117 697305 nan N15  46
20171117 697319 nan N15  46
20171117 697322 nan N15  46
20171117 697323 nan N15  46
20171117 697324 nan N15  46
20171117 697325 nan N15  46
20171117 697326 nan N15  46
20171117 697327 nan N15  46
20171117 697328 nan N15  46
20171117 697329 nan N15  46
20171117 697330 nan N15  46
20171117 697331 nan N15  46
20171117 697332 nan N15  46
20171117 697333 nan N15  46
20171117 697334 nan N15  46
20171117 697335 nan N15  46
20171117 697336 nan N15  46
20171117 697337 nan N15  46
20171117 697343 nan N15  46
20171117 697348 nan N15  46
20171117 697379 nan N15  46
20171117 697388 nan N15  46
20171117 697390 nan N15  46
20171117 697391 nan N15  46
20171118 697577 nan N15  46
20171118 697581 nan N15  46
20171118 697582 nan N15  46
20171118 697593 nan N15  46
20171118 697597 nan N15  46
20171118 697600 nan N15  46
20171118 697612 nan N15  46
20171118 697615 nan N15  46
20171118 697634 nan N15  46
20171118 697707 nan N15  46
20171119 697893 nan N15  46
20171119 697894 nan N15  46
20171119 697895 nan N15  46
20171119 697907 nan N15  46
20171119 697912 nan N15  46
20171119 697944 nan N15  46
20171119 697966 nan N15  46
20171119 697967 nan N15  46
20171119 697970 nan N15  46
20171119 697971 nan N15  46
20171119 697972 nan N15  46
20171119 697973 nan N15  46
20171119 697974 nan N15  46
20171119 697975 nan N15  46
20171119 697977 nan N15  46
20171119 697978 nan N15  46
